STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT11,WT13,WT16,WT18,WT19,WT22
USW00024257,"REDDING AIRPORT, CA US",4/19/10,6.49,1849,1849,0,,,,72,48,180,180,0,23.9,30,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/20/10,4.92,155,154,1.12,,,,58,46,210,220,0,15,19.9,1,,,,1,,1,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/21/10,7.38,1443,1702,0,,,,63,45,20,360,0,17.9,25.1,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/22/10,8.95,1017,1458,0,,,,77,49,20,10,0,19.9,25.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/23/10,2.91,1638,1705,0,,,,77,43,170,180,0,14.1,15,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/24/10,2.01,2031,913,0,,,,76,45,10,50,0,8.9,15,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/25/10,3.8,834,859,0,,,,82,51,10,360,0,14.1,16.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/26/10,5.59,2318,2359,0,,,,68,44,170,170,0,32,45,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/27/10,18.79,937,1108,0.04,,,,64,44,170,180,0,36,47,1,,1,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/28/10,6.49,1116,1237,0.03,,,,56,40,190,170,0,15,17.9,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/29/10,3.8,1643,1637,0,,,,64,34,280,290,0,17,25.9,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/30/10,8.28,1152,1134,0,,,,72,41,10,20,0,19.9,25.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/1/10,5.14,2359,2359,0,,,,79,46,20,10,0,14.1,17,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/2/10,6.71,3,906,0,,,,80,52,20,360,0,16.1,21.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/3/10,5.82,1343,1351,0,,,,82,47,170,170,0,23,25.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/4/10,8.95,610,711,0,,,,76,53,350,330,0,21,30,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/5/10,11.41,1200,1025,0,,,,68,46,10,10,0,23.9,34.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/6/10,10.29,1154,1224,0,,,,74,47,10,20,0,25.1,32,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/7/10,3.8,1645,1502,0,,,,78,39,190,160,0,14.1,17,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/8/10,4.25,1627,1429,0.03,,,,74,50,200,200,0,15,17.9,,,,,1,,1,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/9/10,7.16,2154,2102,0.06,,,,66,53,190,210,0,16.1,31.1,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/10/10,10.51,912,914,0.42,,,,58,41,170,170,0,32,42.9,1,,1,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/11/10,2.91,1445,1344,0,,,,74,36,20,260,0,13,21,1,,,,,,,,,1,,,,
USW00024257,"REDDING AIRPORT, CA US",5/12/10,8.28,921,917,0,,,,81,50,20,20,0,23,29.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/13/10,4.25,918,852,0,,,,84,54,10,350,0,13,16.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/14/10,3.58,1646,1635,0,,,,86,50,150,140,0,12.1,15,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/15/10,3.36,1512,1445,0,,,,85,53,160,170,0,14.1,19.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/16/10,3.58,1435,1504,0,,,,82,55,160,170,0,17,21.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/17/10,10.29,1620,1619,0.01,,,,67,54,170,170,0,25.1,31.1,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/18/10,6.26,1446,1157,0.02,,,,69,54,190,200,0,16.1,21.9,,,,,,,1,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/19/10,8.5,1509,1753,0.11,,,,64,46,180,180,0,25.1,31.1,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/20/10,4.25,1022,1052,0,,,,72,39,350,30,0,13,21,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/21/10,6.04,1527,1527,0,,,,66,44,310,290,0,21,30,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/22/10,3.13,1343,1334,0,,,,61,34,220,210,0,17.9,23.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/23/10,6.49,1650,1650,0,,,,73,40,210,210,0,17,23.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/24/10,7.38,904,915,0,,,,65,50,170,190,0,19.9,23,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/25/10,7.83,1446,1445,0.05,,,,65,48,190,190,0,38.9,53,1,,,,1,,1,,1,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/26/10,7.83,1246,1245,0,,,,68,50,150,150,0,23.9,31.1,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/27/10,6.26,1032,1034,0.38,,,,55,47,170,150,0,21,23.9,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",5/28/10,1.57,1527,1524,0,,,,69,48,130,160,0,8.9,15,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/29/10,7.83,1401,1033,0,,,,83,48,360,360,0,17.9,25.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/30/10,6.26,2219,,0,,,,87,60,350,,0,13,,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",5/31/10,3.8,1628,1633,0,,,,81,61,180,170,0,17.9,21.9,,,,,,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",6/1/10,6.26,443,1255,0,,,,79,62,170,140,0,14.1,17,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/2/10,4.7,1458,1153,0,,,,75,64,180,190,0,15,19.9,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",6/3/10,2.68,1439,1112,0.19,,,,75,60,160,180,0,13,16.1,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",6/4/10,13.2,1248,404,0.01,,,,76,63,190,170,0,25.1,33.1,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",6/5/10,4.03,1811,1052,0,,,,83,60,10,200,0,8.1,13,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/6/10,4.7,1246,1901,0,,,,87,63,140,320,0,13,16.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/7/10,5.59,849,1415,0,,,,92,64,360,30,0,14.1,19.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/8/10,7.16,1721,1720,0,,,,88,57,160,160,0,19.9,23.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/9/10,12.08,1435,1849,0,,,,81,60,160,90,0,23.9,30,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/10/10,10.29,1616,1434,0,,,,79,58,360,320,0,19.9,28,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/11/10,12.08,1107,1221,0,,,,86,58,10,10,0,28,34.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/12/10,7.83,1143,1143,0,,,,93,57,40,40,0,21.9,29.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/13/10,5.82,947,1222,0,,,,99,63,30,20,0,16.1,23,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/14/10,5.37,1749,1544,0,,,,95,61,170,150,0,17,23,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/15/10,9.62,2156,2155,0,,,,91,66,10,10,0,23.9,32,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/16/10,9.4,1027,1017,0,,,,83,58,40,20,0,21,28,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/17/10,6.49,741,741,0,,,,86,58,350,360,0,16.1,21.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/18/10,6.93,1503,1503,0,,,,87,53,160,160,0,23,29.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/19/10,8.5,1355,1353,0,,,,77,57,180,160,0,17.9,23,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/20/10,7.16,1446,1218,0,,,,84,59,20,350,0,15,28,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/21/10,9.4,1135,857,0,,,,91,65,10,20,0,25.1,32,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/22/10,2.24,1425,1425,0,,,,92,56,170,170,0,8.9,13,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/23/10,4.47,1621,1620,0,,,,95,69,190,190,0,15,17.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",6/24/10,4.03,1702,1701,0,,,,94,66,150,150,0,17,21,,,,,,,1,,,,,,,
